"Sản lượng gỗ phân theo loại hình kinh tế (*) by Sản lượng và chỉ số phát triển, Loại hình kinh tế and Năm"

" ";" ";"2016";"2017";"2018"
"Sản lượng (Nghìn m3)"
" ";"TỔNG SỐ";12633.2;14181.8;15248.0
" ";"Kinh tế Nhà nước";1915.4;1968.4;1744.6
" ";"Kinh tế Ngoài Nhà nước:";10626.6;12025.2;13397.2
" ";"    Tập thể";19.0;24.9;33.5
" ";"    Cá thể";10387.6;11631.4;12952.7
" ";"    Tư nhân";220.0;368.9;411.0
" ";"Khu vực có vốn đầu tư nước ngoài";91.2;188.2;106.2
"Chỉ số phát triển (Năm trước = 100) - %"
" ";"TỔNG SỐ";111.8;112.3;107.5
" ";"Kinh tế Nhà nước";96.7;102.8;88.6
" ";"Kinh tế Ngoài Nhà nước:";115.1;113.2;111.4
" ";"    Tập thể";91.3;131.1;134.5
" ";"    Cá thể";115.5;112.0;111.4
" ";"    Tư nhân";101.4;167.7;111.4
" ";"Khu vực có vốn đầu tư nước ngoài";96.8;206.4;56.4

"(*) Số liệu từ năm 2010-2016 điều chỉnh theo số liệu điều tra "
"năm 2017 và 2018."

