"Sản lượng một số cây lâu năm chia theo Sản lượng và chỉ số phát triển, Một số cây lâu năm và Năm"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Sản lượng (Nghìn tấn)"
" ";"Cây ăn quả:";..;..;..
" ";"Nho";26.3;25.2;26.1
" ";"Xoài";745.5;791.8;839.0
" ";"Cam, quýt";957.9;1075.0;1230.1
" ";"Nhãn";499.3;543.7;527.0
" ";"Vải, chôm chôm";562.9;731.8;622.0
" ";"Cây công nghiệp lâu năm:";..;..;..
" ";"Điều";215.8;266.4;284.0
" ";"Cao su (Mủ khô)";1094.5;1137.7;1167.3
" ";"Cà phê (Nhân)";1577.2;1616.3;1678.8
" ";"chè (Búp tươi)";972.0;994.2;1018.4
" ";"Hồ tiêu";252.6;262.7;262.2
"Chỉ số phát triển (Năm trước =100) - %"
" ";"Cây ăn quả:";..;..;..
" ";"Nho";98.1;95.8;103.6
" ";"Xoài";102.4;106.2;106.0
" ";"Cam, quýt";118.7;112.2;114.4
" ";"Nhãn";99.3;108.9;96.9
" ";"Vải, chôm chôm";86.8;130.0;85.0
" ";"Cây công nghiệp lâu năm:";..;..;..
" ";"Điều";70.7;123.4;106.6
" ";"Cao su (Mủ khô)";105.7;103.9;102.6
" ";"Cà phê (Nhân)";108.0;102.5;103.9
" ";"chè (Búp tươi)";94.0;102.3;102.4
" ";"Hồ tiêu";116.7;104.0;99.8

