"Doanh thu du lịch lữ hành theo giá thực tế phân theo thành phần kinh tế (*) chia theo Cách tính, Thành phần kinh tế và Năm"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Doanh thu (Tỷ đồng )"
" ";"TỔNG SỐ";36111.8;40371.2;44259.1
" ";"Kinh tế Nhà nước";4958.7;5101.9;5216.7
" ";"Kinh tế ngoài Nhà nước";27091.7;30524.8;33747.1
" ";"Tập thể";5.4;5.7;6.0
" ";"Tư nhân";27086.3;30519.1;33741.1
" ";"Cá thể";..;..;..
" ";"Khu vực có vốn đầu tư nước ngoài";4061.4;4744.5;5295.3
"Cơ cấu (%)"
" ";"TỔNG SỐ";100.0;100.0;100.0
" ";"Kinh tế Nhà nước";13.7;12.6;11.8
" ";"Kinh tế ngoài Nhà nước";75.0;75.6;76.2
" ";"Tập thể";0.0;0.0;0.0
" ";"Tư nhân";75.0;75.6;76.2
" ";"Cá thể";..;..;..
" ";"Khu vực có vốn đầu tư nước ngoài";11.3;11.8;12.0

"(*) Từ 2007 trở đi, số liệu của cá thể bao gồm cả số liệu của "
"tư nhân cộng vào."

