"Trị giá nhập khẩu hàng hóa phân theo khu vực kinh tế và phân theo nhóm hàng chia theo Cách tính, Khu vực kinh tế và nhóm hàng và Năm"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Giá trị (Triệu đô la Mỹ)"
" ";"TỔNG SỐ";213215.3;237241.6;253355.8
" ";"Khu vực kinh tế trong nước";85379.5;95302.6;108714.1
" ";"Khu vực có vốn đầu tư nước ngoài";127835.8;141939.0;144641.7
" ";"Tư liệu sản xuất";193310.0;212960.8;226443.6
" ";"Máy móc, thiết bị, dụng cụ, phụ tùng";97276.6;102046.6;113294.6
" ";"Nguyên, nhiên, vật liệu";96033.4;110914.2;113149.0
" ";"Hàng tiêu dùng";19764.4;24133.2;26750.5
" ";"Lương thực";17.1;24.1;11.9
" ";"Thực phẩm";9253.8;9999.8;10255.6
" ";"Hàng y tế";2928.9;2981.5;3241.9
" ";"Hàng khác";7564.6;11127.8;13241.1
" ";"Vàng phi tiền tệ";140.9;147.6;161.7
"Cơ cấu (%)"
" ";"TỔNG SỐ";100.0;100.0;100.0
" ";"Khu vực kinh tế trong nước";40.0;40.2;42.9
" ";"Khu vực có vốn đầu tư nước ngoài";60.0;59.8;57.1
" ";"Tư liệu sản xuất";90.6;89.8;89.4
" ";"Máy móc, thiết bị, dụng cụ, phụ tùng";45.6;43.0;44.7
" ";"Nguyên, nhiên, vật liệu";45.0;46.8;44.7
" ";"Hàng tiêu dùng";9.3;10.1;10.5
" ";"Lương thực";0.0;0.0;0.0
" ";"Thực phẩm";4.3;4.2;4.0
" ";"Hàng y tế";1.4;1.3;1.3
" ";"Hàng khác";3.5;4.6;5.2
" ";"Vàng phi tiền tệ";0.1;0.1;0.1

