"Trị giá xuất khẩu hàng hóa phân theo khu vực kinh tế và phân theo nhóm hàng chia theo Cách tính, Khu vực kinh tế và nhóm hàng và Năm"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Trị giá (Triệu đô la Mỹ)"
" ";"TỔNG SỐ";215118.6;243696.8;264189.4
" ";"Phân theo khu vực kinh tế";..;..;..
" ";"Khu vực kinh tế trong nước";60208.4;69733.1;84990.0
" ";"Khu vực có vốn đầu tư nước ngoài(*)";154910.2;173963.7;179199.4
" ";"Phân theo nhóm hàng";..;..;..
" ";"Hàng công nghiệp nặng và khoáng sản";107785.5;124711.7;132010.7
" ";"Khoáng sản";5984.6;6641.8;5502.9
" ";"Hàng CN nhẹ và TTCN";79373.4;89804.6;102491.7
" ";"Hàng nông sản";17388.6;17484.6;17680.8
" ";"Hàng lâm sản";2215.5;2919.1;3455.9
" ";"Hàng thủy sản";8349.2;8771.0;8543.5
" ";"Vàng phi tiền tệ(**)";6.4;5.8;6.8
"Cơ cấu (%)"
" ";"TỔNG SỐ";100.0;100.0;100.0
" ";"Phân theo khu vực kinh tế";..;..;..
" ";"Khu vực kinh tế trong nước";28.0;28.6;32.2
" ";"Khu vực có vốn đầu tư nước ngoài(*)";72.0;71.4;67.8
" ";"Phân theo nhóm hàng";..;..;..
" ";"Hàng công nghiệp nặng và khoáng sản";50.1;51.1;50.0
" ";"Khoáng sản";2.8;2.7;2.1
" ";"Hàng CN nhẹ và TTCN";36.9;36.9;38.8
" ";"Hàng nông sản";8.1;7.2;6.7
" ";"Hàng lâm sản";1.0;1.2;1.3
" ";"Hàng thủy sản";3.9;3.6;3.2
" ";"Vàng phi tiền tệ(**)";0.0;0.0;0.0

"(*)Điều chỉnh số liệu của các năm 2005, 2006, 2009, 2008 do "
"tách riêng vàng phi tiền tệ từ nhóm hàng công nghiệp nhẹ và "
"tiểu thủ công nghiệp .(**) Từ năm 2010 trở về trước không bao "
"gồm vàng xuất khẩu dưới dạng sản phẩm"

