"Xuất bản sách, văn hóa phẩm, báo và tạp chí chia theo Cách tính, Loại ấn xuất bản phẩm và Năm"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Tổng số"
" ";"SÁCH- Đầu sách";28717.0;33896.0;38069.0
" ";"SÁCH- Triệu bản";313.9;372.0;426.9
" ";"Phân theo cấp quản lý - Trung ương - Đầu sách";23406.0;..;..
" ";"Phân theo cấp quản lý - Trung ương - Triệu bản";296.6;..;..
" ";"Phân theo cấp quản lý - Địa phương - Đầu sách";5311.0;..;..
" ";"Phân theo cấp quản lý - Địa phương - Triệu bản";17.4;..;..
" ";"Phân theo loại sách- Sách quốc văn - Đầu sách";28632.0;33504.0;37309.0
" ";"Phân theo loại sách- Sách quốc văn - Triệu bản";313.8;371.0;425.8
" ";"Phân theo loại sách- Sách giáo khoa  - Đầu sách";10857.0;11600.0;13213.0
" ";"Phân theo loại sách- Sách giáo khoa  - Triệu bản";263.2;281.0;303.4
" ";"Phân theo loại sách- Sách khoa học xã hội- Đầu sách";7878.0;6757.0;7395.0
" ";"Phân theo loại sách- Sách khoa học xã hội - Triệu bản";20.4;22.0;16.9
" ";"Phân theo loại sách-  Sách kỹ thuật - Đầu sách";1293.0;2957.0;3487.0
" ";"Phân theo loại sách-  Sách kỹ thuật - Triệu bản";3.3;6.0;42.0
" ";"Phân theo loại sách - Sách thiếu nhi - Đầu sách";4953.0;7144.0;7041.0
" ";"Phân theo loại sách - Sách thiếu nhi - Triệu bản";20.5;52.0;50.0
" ";"Phân theo loại sách - Sách văn học - Đầu sách";3651.0;5046.0;6173.0
" ";"Phân theo loại sách - Sách văn học - Triệu bản";6.3;10.0;13.5
" ";"Phân theo loại sách - Sách ngoại văn - Đầu sách";85.0;392.0;760.0
" ";"Phân theo loại sách - Sách ngoại văn - Triệu bản";0.2;1.0;1.1
" ";"Văn hóa phẩm (Triệu bản)";31.6;43.0;43.5
" ";"Báo và tạp chí (Triệu bản)";..;..;..
"Chỉ số phát triển (Năm trước = 100) %"
" ";"SÁCH- Đầu sách";95.5;118.0;112.3
" ";"SÁCH- Triệu bản";93.9;118.5;114.8
" ";"Phân theo cấp quản lý - Trung ương - Đầu sách";97.8;..;..
" ";"Phân theo cấp quản lý - Trung ương - Triệu bản";93.2;..;..
" ";"Phân theo cấp quản lý - Địa phương - Đầu sách";86.7;..;..
" ";"Phân theo cấp quản lý - Địa phương - Triệu bản";109.7;..;..
" ";"Phân theo loại sách- Sách quốc văn - Đầu sách";95.5;117.0;111.4
" ";"Phân theo loại sách- Sách quốc văn - Triệu bản";94.0;118.2;114.8
" ";"Phân theo loại sách- Sách giáo khoa  - Đầu sách";96.8;106.8;113.9
" ";"Phân theo loại sách- Sách giáo khoa  - Triệu bản";90.2;106.8;108.0
" ";"Phân theo loại sách- Sách khoa học xã hội- Đầu sách";99.1;85.8;109.4
" ";"Phân theo loại sách- Sách khoa học xã hội - Triệu bản";135.9;107.8;76.9
" ";"Phân theo loại sách-  Sách kỹ thuật - Đầu sách";80.9;228.7;117.9
" ";"Phân theo loại sách-  Sách kỹ thuật - Triệu bản";80.9;181.8;699.7
" ";"Phân theo loại sách - Sách thiếu nhi - Đầu sách";95.6;144.2;98.6
" ";"Phân theo loại sách - Sách thiếu nhi - Triệu bản";113.9;253.7;96.1
" ";"Phân theo loại sách - Sách văn học - Đầu sách";90.4;138.2;122.3
" ";"Phân theo loại sách - Sách văn học - Triệu bản";120.7;158.7;134.6
" ";"Phân theo loại sách - Sách ngoại văn - Đầu sách";97.7;461.2;193.9
" ";"Phân theo loại sách - Sách ngoại văn - Triệu bản";67.9;471.7;110.0
" ";"Văn hóa phẩm (Triệu bản)";108.0;136.1;101.2
" ";"Báo và tạp chí (Triệu bản)";..;..;..

